Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
407,Spain Liga,2017-01-28,Deportivo Alaves,Atletico Madrid,0,0,2016/17,Away,2017,1,0,0,0,Draw
408,Spain Liga,2017-01-22,Athletic Bilbao,Atletico Madrid,2,2,2016/17,Away,2017,1,2,2,0,Draw
409,Spain Liga,2017-01-14,Atletico Madrid,Real Betis,1,0,2016/17,Home,2017,1,1,0,1,Win
410,Spain Liga,2017-01-07,Eibar,Atletico Madrid,0,2,2016/17,Away,2017,1,2,0,2,Win
411,Spain Liga,2016-12-17,Atletico Madrid,Las Palmas,1,0,2016/17,Home,2016,12,1,0,1,Win
412,Spain Liga,2016-12-12,Villarreal,Atletico Madrid,3,0,2016/17,Away,2016,12,0,3,-3,Loss
413,UEFA Champions League,2016-12-06,Bayern München,Atletico Madrid,1,0,2016/17,Away,2016,12,0,1,-1,Loss
414,Spain Liga,2016-12-03,Atletico Madrid,RCD Espanyol,0,0,2016/17,Home,2016,12,0,0,0,Draw
415,Spain Liga,2016-11-27,Osasuna,Atletico Madrid,0,3,2016/17,Away,2016,11,3,0,3,Win
416,UEFA Champions League,2016-11-23,Atletico Madrid,PSV Eindhoven,2,0,2016/17,Home,2016,11,2,0,2,Win
417,Spain Liga,2016-11-19,Atletico Madrid,Real Madrid,0,3,2016/17,Home,2016,11,0,3,-3,Loss
418,Spain Liga,2016-11-05,Real Sociedad,Atletico Madrid,2,0,2016/17,Away,2016,11,0,2,-2,Loss
419,UEFA Champions League,2016-11-01,Atletico Madrid,FK Rostov,2,1,2016/17,Home,2016,11,2,1,1,Win
420,Spain Liga,2016-10-29,Atletico Madrid,Malaga,4,2,2016/17,Home,2016,10,4,2,2,Win
421,Spain Liga,2016-10-23,Sevilla,Atletico Madrid,1,0,2016/17,Away,2016,10,0,1,-1,Loss
422,UEFA Champions League,2016-10-19,FK Rostov,Atletico Madrid,0,1,2016/17,Away,2016,10,1,0,1,Win
423,Spain Liga,2016-10-15,Atletico Madrid,Granada,7,1,2016/17,Home,2016,10,7,1,6,Win
424,Spain Liga,2016-10-02,Valencia,Atletico Madrid,0,2,2016/17,Away,2016,10,2,0,2,Win
425,UEFA Champions League,2016-09-28,Atletico Madrid,Bayern München,1,0,2016/17,Home,2016,9,1,0,1,Win
426,Spain Liga,2016-09-25,Atletico Madrid,Deportivo La Coruna,1,0,2016/17,Home,2016,9,1,0,1,Win
427,Spain Liga,2016-09-21,Barcelona,Atletico Madrid,1,1,2016/17,Away,2016,9,1,1,0,Draw
428,Spain Liga,2016-09-17,Atletico Madrid,Sporting Gijon,5,0,2016/17,Home,2016,9,5,0,5,Win
429,UEFA Champions League,2016-09-13,PSV Eindhoven,Atletico Madrid,0,1,2016/17,Away,2016,9,1,0,1,Win
430,Spain Liga,2016-09-10,Celta Vigo,Atletico Madrid,0,4,2016/17,Away,2016,9,4,0,4,Win
431,Spain Liga,2016-08-27,Leganes,Atletico Madrid,0,0,2016/17,Away,2016,8,0,0,0,Draw
432,UEFA Champions League,2016-05-28,Real Madrid,Atletico Madrid,1,1,2015/16,Away,2016,5,1,1,0,Draw
433,Spain Liga,2016-05-14,Atletico Madrid,Celta Vigo,2,0,2015/16,Home,2016,5,2,0,2,Win
434,Spain Liga,2016-05-08,Levante,Atletico Madrid,2,1,2015/16,Away,2016,5,1,2,-1,Loss
435,UEFA Champions League,2016-05-03,Bayern München,Atletico Madrid,2,1,2015/16,Away,2016,5,1,2,-1,Loss
436,Spain Liga,2016-04-30,Atletico Madrid,Rayo Vallecano,1,0,2015/16,Home,2016,4,1,0,1,Win
